formulary_id,contract_year,tier_level_value,rows_count,distinct_rxcui,pct_of_formulary
00025126,2025,1,2129,2129,63.025458851391356
00025126,2025,2,1249,1249,36.974541148608644
00025127,2025,1,3518,3518,100.0
00025128,2025,1,279,279,8.345797188154352
00025128,2025,2,655,655,19.59317977864194
00025128,2025,3,703,703,21.02901585402333
00025128,2025,4,950,950,28.417588991923424
00025128,2025,5,756,756,22.614418187256955
00025129,2025,1,415,415,12.515078407720145
00025129,2025,2,385,385,11.61037394451146
00025129,2025,3,1012,1012,30.51869722557298
00025129,2025,4,723,723,21.803377563329313
00025129,2025,5,781,781,23.552472858866103
00025130,2025,1,2384,2384,66.81614349775785
00025130,2025,2,1184,1184,33.18385650224215
00025132,2025,1,240,240,6.822057987492894
00025132,2025,2,832,832,23.649801023308697
00025132,2025,3,759,759,21.574758385446277
00025132,2025,4,732,732,20.807276861853325
00025132,2025,5,805,805,22.88231949971575
00025132,2025,6,150,150,4.263786242183058
00025133,2025,1,2384,2384,66.81614349775785
00025133,2025,2,1184,1184,33.18385650224215
00025134,2025,1,560,560,16.887816646562122
00025134,2025,2,1439,1439,43.3956574185766
00025134,2025,3,355,355,10.705669481302774
00025134,2025,4,181,181,5.458383594692401
00025134,2025,5,781,781,23.552472858866103
00025137,2025,1,195,195,6.163084702907712
00025137,2025,2,558,558,17.63590391908976
00025137,2025,3,958,958,30.278128950695322
00025137,2025,4,771,771,24.367888748419723
00025137,2025,5,682,682,21.554993678887485
00025138,2025,1,384,384,11.14335461404527
00025138,2025,2,836,836,24.260011607661056
00025138,2025,3,710,710,20.60359837492745
00025138,2025,4,731,731,21.213000580383053
00025138,2025,5,785,785,22.78003482298317
00025140,2025,1,267,267,8.527626956244012
00025140,2025,2,367,367,11.721494730118174
00025140,2025,3,921,921,29.41552219738103
00025140,2025,4,852,852,27.211753433407857
00025140,2025,5,724,724,23.12360268284893
00025141,2025,1,3299,3299,100.0
00025143,2025,1,195,195,5.9760956175298805
00025143,2025,2,516,516,15.813668403309837
00025143,2025,3,708,708,21.697824088262337
00025143,2025,4,895,895,27.428746552252527
00025143,2025,5,751,751,23.015629788538156
00025143,2025,6,198,198,6.068035550107263
00025144,2025,1,371,371,11.24583207032434
00025144,2025,2,722,722,21.88541982418915
00025144,2025,3,659,659,19.975750227341617
00025144,2025,4,783,783,23.734464989390723
00025144,2025,5,764,764,23.158532888754166
00025145,2025,1,246,246,6.854276957369741
00025145,2025,2,699,699,19.476177208135972
00025145,2025,3,839,839,23.376985232655336
00025145,2025,4,797,797,22.206742825299525
00025145,2025,5,809,809,22.541097798829757
00025145,2025,6,199,199,5.5447199777096685
00025146,2025,1,504,504,15.254237288135593
00025146,2025,2,1591,1591,48.153753026634384
00025146,2025,3,282,282,8.535108958837773
00025146,2025,4,146,146,4.418886198547216
00025146,2025,5,781,781,23.638014527845037
00025148,2025,1,3541,3541,100.0
00025149,2025,1,405,405,12.060750446694462
00025149,2025,2,476,476,14.175104228707564
00025149,2025,3,764,764,22.751637879690293
00025149,2025,4,957,957,28.499106611078023
00025149,2025,5,756,756,22.51340083382966
00025151,2025,1,200,200,6.550933508024894
00025151,2025,2,522,522,17.09793645594497
00025151,2025,3,712,712,23.32132328856862
00025151,2025,4,918,918,30.068784801834262
00025151,2025,5,701,701,22.96102194562725
00025152,2025,1,384,384,11.06947247045258
00025152,2025,2,847,847,24.416258287690976
00025152,2025,3,722,722,20.81291438454886
00025152,2025,4,731,731,21.072355145575095
00025152,2025,5,785,785,22.628999711732487
00025155,2025,1,320,320,9.090909090909092
00025155,2025,2,638,638,18.125
00025155,2025,3,912,912,25.90909090909091
00025155,2025,4,844,844,23.977272727272727
00025155,2025,5,806,806,22.897727272727273
00025156,2025,1,396,396,11.98547215496368
00025156,2025,2,427,427,12.923728813559322
00025156,2025,3,990,990,29.9636803874092
00025156,2025,4,710,710,21.48910411622276
00025156,2025,5,781,781,23.638014527845037
00025157,2025,1,200,200,6.550933508024894
00025157,2025,2,522,522,17.09793645594497
00025157,2025,3,712,712,23.32132328856862
00025157,2025,4,918,918,30.068784801834262
00025157,2025,5,701,701,22.96102194562725
00025158,2025,1,144,144,4.716672125777923
00025158,2025,2,460,460,15.067147068457254
00025158,2025,3,687,687,22.50245660006551
00025158,2025,4,912,912,29.872256796593515
00025158,2025,5,701,701,22.96102194562725
00025158,2025,6,149,149,4.880445463478546
00025159,2025,1,396,396,11.98547215496368
00025159,2025,2,427,427,12.923728813559322
00025159,2025,3,990,990,29.9636803874092
00025159,2025,4,710,710,21.48910411622276
00025159,2025,5,781,781,23.638014527845037
00025161,2025,1,397,397,11.061577040958484
00025161,2025,2,729,729,20.31206464196155
00025161,2025,3,841,841,23.43271106157704
00025161,2025,4,813,813,22.652549456673167
00025161,2025,5,809,809,22.541097798829757
00025162,2025,1,3376,3376,100.0
00025163,2025,1,246,246,6.854276957369741
00025163,2025,2,699,699,19.476177208135972
00025163,2025,3,839,839,23.376985232655336
00025163,2025,4,797,797,22.206742825299525
00025163,2025,5,809,809,22.541097798829757
00025163,2025,6,199,199,5.5447199777096685
00025164,2025,1,298,298,8.097826086956522
00025164,2025,2,697,697,18.940217391304348
00025164,2025,3,756,756,20.543478260869566
00025164,2025,4,906,906,24.619565217391305
00025164,2025,5,793,793,21.54891304347826
00025164,2025,6,230,230,6.25
00025165,2025,1,3680,3680,100.0
00025167,2025,1,471,471,13.561762165274978
00025167,2025,2,396,396,11.40224589691909
00025167,2025,3,1027,1027,29.570976101353295
00025167,2025,4,794,794,22.86207889432767
00025167,2025,5,785,785,22.602936942124963
00025169,2025,1,471,471,13.51118760757315
00025169,2025,2,396,396,11.359724612736661
00025169,2025,3,1027,1027,29.460699942627652
